neo_id,name,max_diameter_km,min_diameter_km,miss_distance_km,miss_distance_lunar,relative_velocity_kph,absolute_magnitude_h,is_potentially_hazardous_asteroid,num_close_approaches,total_known_neos,size_to_distance_ratio,scaled_size_to_distance_ratio,approach_category,priority_watch,observatory_code,confidence_score
3448993,(2009 DM45),0.3048175575,0.1363185559,73998365.3347275,192.4182751747,103412.8314284548,21.45,True,1,39123,0.001584140369324331,0.015882,distant,0,I41,0.73
3661496,(2014 CH13),0.0688715693,0.0308003021,24129530.84386245,62.7441252891,8439.3528812633,24.68,False,1,39123,0.001097657652930329,0.010858,distant,0,703,0.88
3749345,(2016 GC134),0.0342010925,0.0152951935,53176068.9979758,138.2739663353,49522.1760550688,26.2,False,1,39123,0.0002473429627169724,0.002077,distant,0,I41,
3837923,(2019 AV13),0.2108822268,0.0943093989,38554460.35485465,100.2533330056,53603.8745610186,22.25,False,1,39123,0.0021034934248841427,0.021245,distant,0,UNKNOWN,0.55
54049855,(2020 OB6),0.0622357573,0.0278326768,24144414.09659216,62.7828262767,8449.0343376215,24.9,False,1,39123,0.0009912863276608649,0.00976,distant,0,F51,0.68
2173561,173561 (2000 YV137),1.2648527775,0.5656593584,5020905.619009044,13.0558829868,58298.5468271531,18.36,True,1,39123,0.09687991067159646,1.0,close,0,UNMATCHED,
3274691,(2005 FC),0.0748238376,0.0334622374,54950845.85816002,142.8889264187,46496.2850220283,24.5,False,1,39123,0.0005236503588860874,0.00493,distant,0,703,0.9
3595776,(2012 AC11),0.2432427915,0.1087814834,64140356.02370621,166.7844501611,38832.1313963623,21.94,False,1,39123,0.0014584260778810467,0.014584,distant,0,UNKNOWN,0.77
3607412,(2012 PH6),0.358129403,0.160160338,49707075.660414875,129.2535276866,57436.1230333093,21.1,False,1,39123,0.0027707514789720366,0.028136,distant,0,W88,0.58
3771018,(2017 EZ2),0.0567596853,0.0253837029,64279768.5975262,167.1469652906,48682.3904807818,25.1,False,1,39123,0.0003395795143592239,0.00303,distant,0,G96,0.72
3555171,(2011 AA37),0.1636967205,0.0732073989,14247353.114315232,37.0474550304,6483.3012142977,22.8,False,1,39123,0.0044185685728122355,0.045153,moderate,0,G96,0.58
3740926,(2016 BV14),0.2716689341,0.1214940408,7310642.194868963,19.0098950861,75878.3414567804,21.7,True,1,39123,0.01429092232595454,0.147105,close,0,703,0.76
3757412,(2016 PC40),0.1032856481,0.046190746,42628899.54973414,110.8481151827,19287.9879006998,23.8,False,1,39123,0.0009317763132892649,0.009145,distant,0,G96,0.55
3757692,(2016 PW78),0.2477650126,0.1108038821,38553240.71334011,100.2501615664,27444.8293467902,21.9,False,1,39123,0.0024714674642782953,0.025046,distant,0,I41,0.71
3805270,(2018 HV),0.0098637028,0.004411182,59291849.50332938,154.1768573095,56348.85107678,28.9,False,1,39123,6.397654597537462e-05,0.000183,distant,0,G96,0.74
3843155,(2019 NY2),0.3420109247,0.1529519353,2515647.475861976,6.5414492072,34589.8169538131,21.2,True,1,39123,0.05228366281948006,0.539455,close,1,703,0.72
3989266,(2020 BS11),0.1714115092,0.0766575574,27884099.60383178,72.507146966,41359.9699635311,22.7,False,1,39123,0.0023640636319669037,0.023936,distant,0,W88,0.91
3025766,(2000 AA6),0.1932146172,0.0864082036,41063586.79972418,106.7778255472,86907.7754552941,22.44,True,1,39123,0.0018095013286685776,0.018209,distant,0,UNMATCHED,
3666430,(2014 FA7),0.0271668934,0.0121494041,48234706.2419419,125.4249190053,22722.9900813197,26.7,False,1,39123,0.00021659885145193538,0.00176,distant,0,I41,0.51
3767609,(2017 BM92),0.1032856481,0.046190746,63338392.06140595,164.6990997391,36654.2509258156,23.8,False,1,39123,0.0006271172596791051,0.005999,distant,0,W88,0.93
3802409,(2018 GY),0.0642746882,0.0287445144,70376296.14124674,182.9997927039,54744.2136582588,24.83,False,1,39123,0.0003512282022308007,0.00315,distant,0,W88,0.55
3986773,(2020 BV1),0.1968067451,0.0880146521,32431639.654060565,84.3321353802,65879.3704932857,22.4,False,1,39123,0.002333709969666053,0.023623,distant,0,UNKNOWN,0.92
2001620,1620 Geographos (1951 RA),5.2485577338,2.3472263753,25497054.460507847,66.3001029703,30101.5270066405,15.27,True,1,39123,0.07916364377520138,0.817044,distant,0,G96,0.75
3401388,(2008 CO),0.1794898848,0.0802703167,23952431.604551643,62.2836133574,15925.6083970287,22.6,False,1,39123,0.002881815539025315,0.029283,distant,0,W88,0.87
3686083,(2014 QL433),0.6223575734,0.2783267681,19855378.178377435,51.6300272951,91237.3399872767,19.9,True,1,39123,0.012054178663180088,0.124006,moderate,0,UNKNOWN,0.83
3824114,(2018 KC),0.0187948982,0.008405334,66504035.49067463,172.9307362857,30959.0673161298,27.5,False,1,39123,0.00010868454390287697,0.000645,distant,0,W88,
2620082,620082 (2014 QL433),0.6281161771,0.2809020939,19855471.572327673,51.6302701478,91237.4134004653,19.88,True,1,39123,0.012165657380872032,0.125157,moderate,0,G96,0.63
3645042,(2013 ND15),0.0899580388,0.040230458,19885833.13323459,51.7092194483,66819.5685210078,24.1,False,1,39123,0.0017396905186306672,0.017488,moderate,0,F51,0.69
3646734,(2013 QC11),0.2871044863,0.1283970296,5543552.136998738,14.4149230286,68302.9163533478,21.58,True,1,39123,0.019917170957511804,0.205207,close,0,703,
3727045,(2015 RW35),0.008590926,0.0038419789,71486389.66378574,185.886373778,72775.6478541256,29.2,False,1,39123,4.621600725968195e-05,0.0,distant,0,UNKNOWN,0.95
3414400,(2008 MQ1),0.0859092601,0.0384197891,57492050.78373066,149.4968327749,53937.8424403394,24.2,False,1,39123,0.00057465605461592,0.005457,distant,0,G96,0.79
3448109,(2009 DB12),0.331161605,0.1480999721,57311161.91621723,149.0264666563,81105.287470393,21.27,False,1,39123,0.002222166387154294,0.022471,distant,0,UNKNOWN,0.81
3467149,(2009 RA4),0.2844722965,0.1272198785,67012722.522781864,174.2534774149,13272.516376753,21.6,False,1,39123,0.0016325200548088197,0.016382,distant,0,G96,0.79
3468430,(2009 SZ99),0.8129053443,0.3635423218,58975198.23506418,153.3534676225,68162.5513416154,19.32,False,1,39123,0.005300860534181561,0.054265,distant,0,703,0.93
3723817,(2015 MO116),0.0941976306,0.0421264611,39236668.4696191,102.02728177,37388.0443104014,24.0,False,1,39123,0.0009232592397428525,0.009057,distant,0,I41,0.91
3879543,(2019 UF5),0.0450858206,0.0201629919,40935311.66764739,106.4442711565,36947.3429886548,25.6,False,1,39123,0.0004235626784809531,0.003897,distant,0,UNMATCHED,
